theta,q3_over_t,dq3
2.9659716,-0.001789179,0.9947074
2.9697665,-0.0017733821,0.99474731
2.9735613,-0.0017577275,0.99478692
2.9773561,-0.001742214,0.99482624
2.981151,-0.0017268403,0.99486526
2.9849458,-0.0017116049,0.99490398
2.9887406,-0.0016965067,0.99494241
2.9925354,-0.0016815444,0.99498056
2.9963303,-0.0016667168,0.99501842
3.0001251,-0.0016520225,0.99505599
3.0039199,-0.0016374604,0.99509328
3.0077148,-0.0016230293,0.99513029
3.0115096,-0.0016087279,0.99516702
3.0153044,-0.0015945551,0.99520347
3.0190992,-0.0015805096,0.99523965
3.0228941,-0.0015665903,0.99527556
3.0266889,-0.0015527961,0.9953112
3.0304837,-0.0015391257,0.99534657
3.0342786,-0.0015255781,0.99538167
3.0380734,-0.0015121521,0.99541651
3.0418682,-0.0014988466,0.99545108
3.0456631,-0.0014856605,0.9954854
3.0494579,-0.0014725926,0.99551946
3.0532527,-0.001459642,0.99555326
3.0570475,-0.0014468075,0.99558681
3.0608424,-0.0014340881,0.9956201
3.0646372,-0.0014214827,0.99565315
3.068432,-0.0014089902,0.99568594
3.0722269,-0.0013966097,0.99571849
3.0760217,-0.00138434,0.99575079
3.0798165,-0.0013721803,0.99578285
3.0836113,-0.0013601294,0.99581467
3.0874062,-0.0013481864,0.99584625
3.091201,-0.0013363502,0.99587759
3.0949958,-0.00132462,0.9959087
3.0987907,-0.0013129947,0.99593957
3.1025855,-0.0013014735,0.99597021
3.1063803,-0.0012900552,0.99600062
3.1101751,-0.001278739,0.9960308
3.11397,-0.001267524,0.99606075
3.1177648,-0.0012564092,0.99609047
3.1215596,-0.0012453937,0.99611998
3.1253545,-0.0012344766,0.99614926
3.1291493,-0.001223657,0.99617832
3.1329441,-0.001212934,0.99620716
3.1367389,-0.0012023068,0.99623578
3.1405338,-0.0011917744,0.99626419
3.1443286,-0.001181336,0.99629238
3.1481234,-0.0011709907,0.99632036
3.1519183,-0.0011607378,0.99634813
3.1557131,-0.0011505762,0.9963757
3.1595079,-0.0011405053,0.99640305
3.1633028,-0.0011305241,0.9964302
3.1670976,-0.001120632,0.99645714
3.1708924,-0.0011108279,0.99648388
3.1746872,-0.0011011112,0.99651042
3.1784821,-0.0010914811,0.99653676
3.1822769,-0.0010819367,0.9965629
3.1860717,-0.0010724774,0.99658884
3.1898666,-0.0010631022,0.99661459
